NodeSet := data { n1 .. n52 };

Composite table:
   i       j         ArcFixedCost
   n27     n19            246
   n19     n28            220
   n28     n19            220
   n19     n29            178
   n29     n19            178
   n19     n30            158
   n30     n19            158
   n19     n31             83
   n31     n19             83
   n19     n32             55
   n32     n19             55
   n19     n33            175
   n33     n19            175
   n19     n34             88
   n34     n19             88
   n19     n35             83
   n35     n19             83
   n19     n36             79
   n36     n19             79
   n19     n37             93
   n37     n19             93
   n19     n38             92
   n38     n19             92
   n19     n39             80
   n39     n19             80
   n19     n40             84
   n40     n19             84
   n19     n41             23
   n41     n19             23
   n19     n42            185
   n42     n19            185
   n19     n43             92
   n43     n19             92
   n19     n44            105
   n44     n19            105
   n19     n45             19
   n45     n19             19
   n19     n46            126
   n46     n19            126
   n19     n47            261
   n47     n19            261
   n19     n48            104
   n48     n19            104
   n19     n49             67
   n49     n19             67
   n19     n50            130
   n50     n19            130
   n19     n51            211
   n51     n19            211
   n19     n52            345
   n52     n19            345
   n20     n21             70
   n21     n20             70
   n20     n22             56
   n22     n20             56
   n20     n23             24
   n23     n20             24
   n20     n24             95
   n24     n20             95
   n20     n25            117
   n25     n20            117
   n20     n26            166
   n26     n20            166
   n20     n27            190
   n27     n20            190
   n20     n28            173
   n28     n20            173
   n20     n29             53
   n29     n20             53
   n20     n30             47
   n30     n20             47
   n20     n31             59
   n31     n20             59
   n20     n32             75
   n32     n20             75
   n20     n33            248
   n33     n20            248
   n20     n34             64
   n34     n20             64
   n20     n35             65
   n35     n20             65
   n20     n36             69
   n36     n20             69
   n20     n37             81
   n37     n20             81
   n20     n38             91
   n38     n20             91
   n20     n39             78
   n39     n20             78
   n20     n40             87
   n40     n20             87
   n20     n41            150
   n41     n20            150
   n20     n42            119
   n42     n20            119
   n20     n43            160
   n43     n20            160
   n20     n44             49
   n44     n20             49
   n20     n45            113
   n45     n20            113
   n20     n46             74
   n46     n20             74
   n20     n47            170
   n47     n20            170
   n20     n48             91
   n48     n20             91
   n20     n49             66
   n49     n20             66
   n20     n50              9
   n50     n20              9
   n20     n51            215
   n51     n20            215
   n20     n52            297
   n52     n20            297
   n21     n22             63
   n22     n21             63
   n21     n23             47
   n23     n21             47
   n21     n24            140
   n24     n21            140
   n21     n25            171
   n25     n21            171
   n21     n26            235
   n26     n21            235
   n21     n27            258
   n27     n21            258
   n21     n28            238
   n28     n21            238
   n21     n29            115
   n29     n21            115
   n21     n30             60
   n30     n21             60
   n21     n31             38
   n31     n21             38
   n21     n32             85
   n32     n21             85
   n21     n33            274
   n33     n21            274
   n21     n34            104
   n34     n21            104
   n21     n35            102
   n35     n21            102
   n21     n36            103
   n36     n21            103
   n21     n37            123
   n37     n21            123
   n21     n38            132
   n38     n21            132
   n21     n39            113
   n39     n21            113
   n21     n40            124
   n40     n21            124
   n21     n41            131
   n41     n21            131
   n21     n42             72
   n42     n21             72
   n21     n43            183
   n43     n21            183
   n21     n44            100
   n44     n21            100
   n21     n45            108
   n45     n21            108
   n21     n46            133
   n46     n21            133
   n21     n47            239
   n47     n21            239
   n21     n48            137
   n48     n21            137
   n21     n49             86
   n49     n21             86
   n21     n50             78
   n50     n21             78
   n21     n51            268
   n51     n21            268
   n21     n52            364
   n52     n21            364
   n22     n23             44
   n23     n22             44
   n22     n24             79
   n24     n22             79
   n22     n25            114
   n25     n22            114
   n22     n26            193
   n26     n22            193
   n22     n27            211
   n27     n22            211
   n22     n28            188
   n28     n22            188
   n22     n29            107
   n29     n22            107
   n22     n30             88
   n30     n22             88
   n22     n31             26
   n31     n22             26
   n22     n32             24
   n32     n22             24
   n22     n33            213
   n33     n22            213
   n22     n34             45
   n34     n22             45
   n22     n35             41
   n35     n22             41
   n22     n36             42
   n36     n22             42
   n22     n37             63
   n37     n22             63
   n22     n38             70
   n38     n22             70
   n22     n39             52
   n39     n22             52
   n22     n40             62
   n40     n22             62
   n22     n41             94
   n41     n22             94
   n22     n42            134
   n42     n22            134
   n22     n43            122
   n43     n22            122
   n22     n44             50
   n44     n22             50
   n22     n45             58
   n45     n22             58
   n22     n46             81
   n46     n22             81
   n22     n47            208
   n47     n22            208
   n22     n48             78
   n48     n22             78
   n22     n49             23
   n49     n22             23
   n22     n50             59
   n50     n22             59
   n22     n51            208
   n51     n22            208
   n22     n52            317
   n52     n22            317
   n23     n24            103
   n24     n23            103
   n23     n25            130
   n25     n23            130
   n23     n26            189
   n26     n23            189
   n23     n27            211
   n27     n23            211
   n23     n28            193
   n28     n23            193
   n23     n29             74
   n29     n23             74
   n23     n30             45
   n30     n23             45
   n23     n31             38
   n31     n23             38
   n23     n32             67
   n32     n23             67
   n23     n33            250
   n33     n23            250
   n23     n34             69
   n34     n23             69
   n23     n35             68
   n35     n23             68
   n23     n36             71
   n36     n23             71
   n23     n37             87
   n37     n23             87
   n23     n38             98
   n38     n23             98
   n23     n39             81
   n39     n23             81
   n23     n40             91
   n40     n23             91
   n23     n41            136
   n41     n23            136
   n23     n42            104
   n42     n23            104
   n23     n43            160
   n43     n23            160
   n23     n44             59
   n44     n23             59
   n23     n45            102
   n45     n23            102
   n23     n46             89
   n46     n23             89
   n23     n47            193
   n47     n23            193
   n23     n48            100
   n48     n23            100
   n23     n49             61
   n49     n23             61
   n23     n50             32
   n50     n23             32
   n23     n51            229
   n51     n23            229
   n23     n52            318
   n52     n23            318
   n24     n25             37
   n25     n24             37
   n24     n26            134
   n26     n24            134
   n24     n27            144
   n27     n24            144
   n24     n28            118
   n28     n24            118
   n24     n29            120
   n29     n24            120
   n24     n30            142
   n30     n24            142
   n24     n31            105
   n31     n24            105
   n24     n32             66
   n32     n24             66
   n24     n33            155
   n33     n24            155
   n24     n34             36
   n34     n24             36
   n24     n35             38
   n35     n24             38
   n24     n36             38
   n36     n24             38
   n24     n37             17
   n37     n24             17
   n24     n38             11
   n38     n24             11
   n24     n39             29
   n39     n24             29
   n24     n40             20
   n40     n24             20
   n24     n41            123
   n41     n24            123
   n24     n42            206
   n42     n24            206
   n24     n43             74
   n43     n24             74
   n24     n44             46
   n44     n24             46
   n24     n45             85
   n45     n24             85
   n24     n46             35
   n46     n24             35
   n24     n47            163
   n47     n24            163
   n24     n48              4
   n48     n24              4
   n24     n49             58
   n49     n24             58
   n24     n50             89
   n50     n24             89
   n24     n51            129
   n51     n24            129
   n24     n52            245
   n52     n24            245
   n25     n26            103
   n26     n25            103
   n25     n27            109
   n27     n25            109
   n25     n28             82
   n28     n25             82
   n25     n29            127
   n29     n25            127
   n25     n30            164
   n30     n25            164
   n25     n31            139
   n31     n25            139
   n25     n32            102
   n32     n25            102
   n25     n33            151
   n33     n25            151
   n25     n34             69
   n34     n25             69
   n25     n35             73
   n35     n25             73
   n25     n36             73
   n36     n25             73
   n25     n37             52
   n37     n25             52
   n25     n38             48
   n38     n25             48
   n25     n39             65
   n39     n25             65
   n25     n40             57
   n40     n25             57
   n25     n41            157
   n41     n25            157
   n25     n42            234
   n42     n25            234
   n25     n43             89
   n43     n25             89
   n25     n44             72
   n44     n25             72
   n25     n45            120
   n45     n25            120
   n25     n46             43
   n46     n25             43
   n25     n47            138
   n47     n25            138
   n25     n48             37
   n48     n25             37
   n25     n49             93
   n49     n25             93
   n25     n50            110
   n50     n25            110
   n25     n51             98
   n51     n25             98
   n25     n52            209
   n52     n25            209
   n26     n27             32
   n27     n26             32
   n26     n28             40
   n28     n26             40
   n26     n29            140
   n29     n26            140
   n26     n30            201
   n30     n26            201
   n26     n31            213
   n31     n26            213
   n26     n32            191
   n32     n26            191
   n26     n33            229
   n33     n26            229
   n26     n34            154
   n34     n26            154
   n26     n35            159
   n35     n26            159
   n26     n36            161
   n36     n26            161
   n26     n37            144
   n37     n26            144
   n26     n38            145
   n38     n26            145
   n26     n39            158
   n39     n26            158
   n26     n40            152
   n40     n26            152
   n26     n41            257
   n41     n26            257
   n26     n42            280
   n42     n26            280
   n26     n43            189
   n43     n26            189
   n26     n44            144
   n44     n26            144
   n26     n45            218
   n45     n26            218
   n26     n46            113
   n46     n26            113
   n26     n47             46
   n47     n26             46
   n26     n48            133
   n48     n26            133
   n26     n49            180
   n49     n26            180
   n26     n50            158
   n50     n26            158
   n26     n51            124
   n51     n26            124
   n26     n52            131
   n52     n26            131
   n27     n28             28
   n28     n27             28
   n27     n29            168
   n29     n27            168
   n27     n30            228
   n30     n27            228
   n27     n31            233
   n31     n27            233
   n27     n32            206
   n32     n27            206
   n27     n33            215
   n33     n27            215
   n27     n34            169
   n34     n27            169
   n27     n35            173
   n35     n27            173
   n27     n36            175
   n36     n27            175
   n27     n37            156
   n37     n27            156
   n27     n38            155
   n38     n27            155
   n27     n39            170
   n39     n27            170
   n27     n40            163
   n40     n27            163
   n27     n41            266
   n41     n27            266
   n27     n42            307
   n42     n27            307
   n27     n43            188
   n43     n27            188
   n27     n44            162
   n44     n27            162
   n27     n45            228
   n45     n27            228
   n27     n46            130
   n46     n27            130
   n27     n47             73
   n47     n27             73
   n27     n48            143
   n48     n27            143
   n27     n49            195
   n49     n27            195
   n27     n50            182
   n50     n27            182
   n27     n51            103
   n51     n27            103
   n27     n52            106
   n52     n27            106
   n28     n29            157
   n29     n28            157
   n28     n30            213
   n30     n28            213
   n28     n31            211
   n31     n28            211
   n28     n32            181
   n32     n28            181
   n28     n33            192
   n33     n28            192
   n28     n34            145
   n34     n28            145
   n28     n35            149
   n35     n28            149
   n28     n36            151
   n36     n28            151
   n28     n37            131
   n37     n28            131
   n28     n38            129
   n38     n28            129
   n28     n39            145
   n39     n28            145
   n28     n40            138
   n40     n28            138
   n28     n41            239
   n41     n28            239
   n28     n42            291
   n42     n28            291
   n28     n43            160
   n43     n28            160
   n28     n44            140
   n44     n28            140
   n28     n45            202
   n45     n28            202
   n28     n46            107
   n46     n28            107
   n28     n47             86
   n47     n28             86
   n28     n48            117
   n48     n28            117
   n28     n49            171
   n49     n28            171
   n28     n50            164
   n50     n28            164
   n28     n51             84
   n51     n28             84
   n28     n52            128
   n52     n28            128
   n29     n30             65
   n30     n29             65
   n29     n31            111
   n31     n29            111
   n29     n32            123
   n32     n29            123
   n29     n33            274
   n33     n29            274
   n29     n34            100
   n34     n29            100
   n29     n35            104
   n35     n29            104
   n29     n36            108
   n36     n29            108
   n29     n37            111
   n37     n29            111
   n29     n38            121
   n38     n29            121
   n29     n39            115
   n39     n29            115
   n29     n40            120
   n40     n29            120
   n29     n41            200
   n41     n29            200
   n29     n42            143
   n42     n29            143
   n29     n43            193
   n43     n29            193
   n29     n44             81
   n44     n29             81
   n29     n45            161
   n45     n29            161
   n29     n46             87
   n46     n29             87
   n29     n47            131
   n47     n29            131
   n29     n48            116
   n48     n29            116
   n29     n49            112
   n49     n29            112
   n29     n50             48
   n50     n29             48
   n29     n51            218
   n51     n29            218
   n29     n52            270
   n52     n29            270
   n30     n31             76
   n31     n30             76
   n30     n32            112
   n32     n30            112
   n30     n33            293
   n33     n30            293
   n30     n34            110
   n34     n30            110
   n30     n35            110
   n35     n30            110
   n30     n36            113
   n36     n30            113
   n30     n37            127
   n37     n30            127
   n30     n38            138
   n38     n30            138
   n30     n39            124
   n39     n30            124
   n30     n40            133
   n40     n30            133
   n30     n41            178
   n41     n30            178
   n30     n42             79
   n42     n30             79
   n30     n43            204
   n43     n30            204
   n30     n44             96
   n44     n30             96
   n30     n45            146
   n45     n30            146
   n30     n46            120
   n46     n30            120
   n30     n47            196
   n47     n30            196
   n30     n48            138
   n48     n30            138
   n30     n49            106
   n49     n30            106
   n30     n50             54
   n50     n30             54
   n30     n51            261
   n51     n30            261
   n30     n52            333
   n52     n30            333
   n31     n32             48
   n32     n31             48
   n31     n33            237
   n33     n31            237
   n31     n34             70
   n34     n31             70
   n31     n35             67
   n35     n31             67
   n31     n36             68
   n36     n31             68
   n31     n37             89
   n37     n31             89
   n31     n38             96
   n38     n31             96
   n31     n39             78
   n39     n31             78
   n31     n40             88
   n40     n31             88
   n31     n41            102
   n41     n31            102
   n31     n42            110
   n42     n31            110
   n31     n43            146
   n43     n31            146
   n31     n44             71
   n44     n31             71
   n31     n45             73
   n45     n31             73
   n31     n46            104
   n46     n31            104
   n31     n47            224
   n47     n31            224
   n31     n48            103
   n48     n31            103
   n31     n49             49
   n49     n31             49
   n31     n50             66
   n50     n31             66
   n31     n51            234
   n51     n31            234
   n31     n52            339
   n52     n31            339
   n32     n33            190
   n33     n32            190
   n32     n34             38
   n34     n32             38
   n32     n35             33
   n35     n32             33
   n32     n36             31
   n36     n32             31
   n32     n37             51
   n37     n32             51
   n32     n38             55
   n38     n32             55
   n32     n39             37
   n39     n32             37
   n32     n40             46
   n40     n32             46
   n32     n41             78
   n41     n32             78
   n32     n42            157
   n42     n32            157
   n32     n43             98
   n43     n32             98
   n32     n44             52
   n44     n32             52
   n32     n45             38
   n45     n32             38
   n32     n46             78
   n46     n32             78
   n32     n47            211
   n47     n32            211
   n32     n48             65
   n48     n32             65
   n32     n49             12
   n49     n32             12
   n32     n50             76
   n50     n32             76
   n32     n51            192
   n51     n32            192
   n32     n52            310
   n52     n32            310
   n33     n34            184
   n34     n33            184
   n33     n35            183
   n35     n33            183
   n33     n36            180
   n36     n33            180
   n33     n37            167
   n37     n33            167
   n33     n38            156
   n38     n33            156
   n33     n39            170
   n39     n33            170
   n33     n40            161
   n40     n33            161
   n33     n41            176
   n41     n33            176
   n33     n42            347
   n42     n33            347
   n33     n43             91
   n43     n33             91
   n33     n44            200
   n44     n33            200
   n33     n45            172
   n45     n33            172
   n33     n46            187
   n46     n33            187
   n33     n47            274
   n47     n33            274
   n33     n48            159
   n48     n33            159
   n33     n49            191
   n49     n33            191
   n33     n50            243
   n50     n33            243
   n33     n51            119
   n51     n33            119
   n33     n52            272
   n52     n33            272
   n34     n35              5
   n35     n34              5
   n34     n36              8
   n36     n34              8
   n34     n37             19
   n37     n34             19
   n34     n38             29
   n38     n34             29
   n34     n39             15
   n39     n34             15
   n34     n40             23
   n40     n34             23
   n34     n41            110
   n41     n34            110
   n34     n42            171
   n42     n34            171
   n34     n43             96
   n43     n34             96
   n34     n44             20
   n44     n34             20
   n34     n45             69
   n45     n34             69
   n34     n46             40
   n46     n34             40
   n34     n47            174
   n47     n34            174
   n34     n48             33
   n48     n34             33
   n34     n49             26
   n49     n34             26
   n34     n50             61
   n50     n34             61
   n34     n51            164
   n51     n34            164
   n34     n52            273
   n52     n34            273
   n35     n36              4
   n36     n35              4
   n35     n37             22
   n37     n35             22
   n35     n38             30
   n38     n35             30
   n35     n39             13
   n39     n35             13
   n35     n40             23
   n40     n35             23
   n35     n41            105
   n41     n35            105
   n35     n42            170
   n42     n35            170
   n35     n43             94
   n43     n35             94
   n35     n44             24
   n44     n35             24
   n35     n45             64
   n45     n35             64
   n35     n46             46
   n46     n35             46
   n35     n47            180
   n47     n35            180
   n35     n48             36
   n48     n35             36
   n35     n49             21
   n49     n35             21
   n35     n50             63
   n50     n35             63
   n35     n51            167
   n51     n35            167
   n35     n52            278
   n52     n35            278
   n36     n37             21
   n37     n36             21
   n36     n38             29
   n38     n36             29
   n36     n39             11
   n39     n36             11
   n36     n40             21
   n40     n36             21
   n36     n41            102
   n41     n36            102
   n36     n42            172
   n42     n36            172
   n36     n43             91
   n43     n36             91
   n36     n44             28
   n44     n36             28
   n36     n45             61
   n45     n36             61
   n36     n46             48
   n46     n36             48
   n36     n47            182
   n47     n36            182
   n36     n48             36
   n48     n36             36
   n36     n49             20
   n49     n36             20
   n36     n50             66
   n50     n36             66
   n36     n51            166
   n51     n36            166
   n36     n52            279
   n52     n36            279
   n37     n38             11
   n38     n37             11
   n37     n39             14
   n39     n37             14
   n37     n40             10
   n40     n37             10
   n37     n41            114
   n41     n37            114
   n37     n42            190
   n42     n37            190
   n37     n43             82
   n43     n37             82
   n37     n44             33
   n44     n37             33
   n37     n45             74
   n45     n37             74
   n37     n46             35
   n46     n37             35
   n37     n47            169
   n47     n37            169
   n37     n48             15
   n48     n37             15
   n37     n49             41
   n49     n37             41
   n37     n50             76
   n50     n37             76
   n37     n51            145
   n51     n37            145
   n37     n52            259
   n52     n37            259
   n38     n39             19
   n39     n38             19
   n38     n40              9
   n40     n38              9
   n38     n41            112
   n41     n38            112
   n38     n42            200
   n42     n38            200
   n38     n43             72
   n43     n38             72
   n38     n44             43
   n44     n38             43
   n38     n45             74
   n45     n38             74
   n38     n46             41
   n46     n38             41
   n38     n47            173
   n47     n38            173
   n38     n48             12
   n48     n38             12
   n38     n49             48
   n49     n38             48
   n38     n50             87
   n50     n38             87
   n38     n51            138
   n51     n38            138
   n38     n52            257
   n52     n38            257
   n39     n40             11
   n40     n39             11
   n39     n41            102
   n41     n39            102
   n39     n42            182
   n42     n39            182
   n39     n43             81
   n43     n39             81
   n39     n44             34
   n44     n39             34
   n39     n45             61
   n45     n39             61
   n39     n46             47
   n46     n39             47
   n39     n47            182
   n47     n39            182
   n39     n48             28
   n48     n39             28
   n39     n49             29
   n49     n39             29
   n39     n50             76
   n50     n39             76
   n39     n51            157
   n51     n39            157
   n39     n52            273
   n52     n39            273
   n40     n41            105
   n41     n40            105
   n40     n42            193
   n42     n40            193
   n40     n43             73
   n43     n40             73
   n40     n44             40
   n44     n40             40
   n40     n45             66
   n45     n40             66
   n40     n46             45
   n46     n40             45
   n40     n47            179
   n47     n40            179
   n40     n48             20
   n48     n40             20
   n40     n49             39
   n49     n40             39
   n40     n50             83
   n50     n40             83
   n40     n51            146
   n51     n40            146
   n40     n52            265
   n52     n40            265
   n41     n42            199
   n42     n41            199
   n41     n43            100
   n43     n41            100
   n41     n44            128
   n44     n41            128
   n41     n45             41
   n45     n41             41
   n41     n46            148
   n46     n41            148
   n41     n47            283
   n47     n41            283
   n41     n48            125
   n48     n41            125
   n41     n49             90
   n49     n41             90
   n41     n50            153
   n50     n41            153
   n41     n51            224
   n51     n41            224
   n41     n52            363
   n52     n41            363
   n42     n43            255
   n43     n42            255
   n42     n44            163
   n44     n42            163
   n42     n45            180
   n45     n42            180
   n42     n46            192
   n46     n42            192
   n42     n47            273
   n47     n42            273
   n42     n48            204
   n48     n42            204
   n42     n49            157
   n49     n42            157
   n42     n50            127
   n50     n42            127
   n42     n51            332
   n51     n42            332
   n42     n52            411
   n52     n42            411
   n43     n44            114
   n44     n43            114
   n43     n45             84
   n45     n43             84
   n43     n46            109
   n46     n43            109
   n43     n47            226
   n47     n43            226
   n43     n48             78
   n48     n43             78
   n43     n49            100
   n49     n43            100
   n43     n50            157
   n50     n43            157
   n43     n51            126
   n51     n43            126
   n43     n52            274
   n52     n43            274
   n44     n45             87
   n45     n44             87
   n44     n46             33
   n46     n44             33
   n44     n47            160
   n47     n44            160
   n44     n48             43
   n48     n44             43
   n44     n49             39
   n49     n44             39
   n44     n50             44
   n50     n44             44
   n44     n51            170
   n51     n44            170
   n44     n52            268
   n52     n44            268
   n45     n46            107
   n46     n45            107
   n45     n47            242
   n47     n45            242
   n45     n48             86
   n48     n45             86
   n45     n49             49
   n49     n45             49
   n45     n50            114
   n50     n45            114
   n45     n51            198
   n51     n45            198
   n45     n52            329
   n52     n45            329
   n46     n47            135
   n47     n46            135
   n46     n48             31
   n48     n46             31
   n46     n49             66
   n49     n46             66
   n46     n50             67
   n50     n46             67
   n46     n51            141
   n51     n46            141
   n46     n52            235
   n52     n46            235
   n47     n48            161
   n48     n47            161
   n47     n49            199
   n49     n47            199
   n47     n50            162
   n50     n47            162
   n47     n51            170
   n51     n47            170
   n47     n52            149
   n52     n47            149
   n48     n49             56
   n49     n48             56
   n48     n50             86
   n50     n48             86
   n48     n51            131
   n51     n48            131
   n48     n52            245
   n52     n48            245
   n49     n50             66
   n50     n49             66
   n49     n51            185
   n51     n49            185
   n49     n52            299
   n52     n49            299
   n50     n51            207
   n51     n50            207
   n50     n52            288
   n52     n50            288
   n51     n52            156
   n52     n51            156
;

Composite table:
   i            Demand
! --------------------
   n1            -15
   n2              1
   n4              1
   n10             1
   n11             1
   n13             1
   n17             1
   n23             1
   n25             1
   n29             1
   n33             1
   n34             1
   n38             1
   n43             1
   n46             1
   n47             1
;


