NodeSet := data{ n1 .. n58  };

Composite table:
   i       j         ArcFixedCost
   n22     n15           2358
   n15     n23           2654
   n23     n15           2654
   n15     n24           3346
   n24     n15           3346
   n15     n25           4589
   n25     n15           4589
   n15     n26           1177
   n26     n15           1177
   n15     n27           2151
   n27     n15           2151
   n15     n28            887
   n28     n15            887
   n15     n29           1564
   n29     n15           1564
   n15     n30           4099
   n30     n15           4099
   n15     n31           5304
   n31     n15           5304
   n15     n32           4591
   n32     n15           4591
   n15     n33            818
   n33     n15            818
   n15     n34            262
   n34     n15            262
   n15     n35           1716
   n35     n15           1716
   n15     n36           1350
   n36     n15           1350
   n15     n37            528
   n37     n15            528
   n15     n38           4408
   n38     n15           4408
   n15     n39           1827
   n39     n15           1827
   n15     n40           4306
   n40     n15           4306
   n15     n41           1905
   n41     n15           1905
   n15     n42           4947
   n42     n15           4947
   n15     n43           2073
   n43     n15           2073
   n15     n44           3590
   n44     n15           3590
   n15     n45            562
   n45     n15            562
   n15     n46            607
   n46     n15            607
   n15     n47           1717
   n47     n15           1717
   n15     n48           2093
   n48     n15           2093
   n15     n49           1742
   n49     n15           1742
   n15     n50           4772
   n50     n15           4772
   n15     n51           1645
   n51     n15           1645
   n15     n52           1747
   n52     n15           1747
   n15     n53           4036
   n53     n15           4036
   n15     n54           2082
   n54     n15           2082
   n15     n55           2179
   n55     n15           2179
   n15     n56            760
   n56     n15            760
   n15     n57           2592
   n57     n15           2592
   n15     n58           3554
   n58     n15           3554
   n16     n17           1734
   n17     n16           1734
   n16     n18           2543
   n18     n16           2543
   n16     n19           2044
   n19     n16           2044
   n16     n20           3544
   n20     n16           3544
   n16     n21           1578
   n21     n16           1578
   n16     n22            932
   n22     n16            932
   n16     n23           1939
   n23     n16           1939
   n16     n24           2582
   n24     n16           2582
   n16     n25           3304
   n25     n16           3304
   n16     n26           1868
   n26     n16           1868
   n16     n27           1861
   n27     n16           1861
   n16     n28           2089
   n28     n16           2089
   n16     n29           1362
   n29     n16           1362
   n16     n30           3131
   n30     n16           3131
   n16     n31           2357
   n31     n16           2357
   n16     n32           3642
   n32     n16           3642
   n16     n33           2133
   n33     n16           2133
   n16     n34           2624
   n34     n16           2624
   n16     n35           1491
   n35     n16           1491
   n16     n36           1615
   n36     n16           1615
   n16     n37           2379
   n37     n16           2379
   n16     n38           1456
   n38     n16           1456
   n16     n39           1144
   n39     n16           1144
   n16     n40           3338
   n40     n16           3338
   n16     n41           1310
   n41     n16           1310
   n16     n42           1990
   n42     n16           1990
   n16     n43           2035
   n43     n16           2035
   n16     n44           2650
   n44     n16           2650
   n16     n45           2429
   n45     n16           2429
   n16     n46           2759
   n46     n16           2759
   n16     n47           1770
   n47     n16           1770
   n16     n48           1216
   n48     n16           1216
   n16     n49           1790
   n49     n16           1790
   n16     n50           3346
   n50     n16           3346
   n16     n51           1622
   n51     n16           1622
   n16     n52           1639
   n52     n16           1639
   n16     n53           2910
   n53     n16           2910
   n16     n54           1162
   n54     n16           1162
   n16     n55           1062
   n55     n16           1062
   n16     n56           2698
   n56     n16           2698
   n16     n57           2139
   n57     n16           2139
   n16     n58           2278
   n58     n16           2278
   n17     n18           2267
   n18     n17           2267
   n17     n19            300
   n19     n17            300
   n17     n20           3542
   n20     n17           3542
   n17     n21            638
   n21     n17            638
   n17     n22           1202
   n22     n17           1202
   n17     n23           1328
   n23     n17           1328
   n17     n24           2094
   n24     n17           2094
   n17     n25           3187
   n25     n17           3187
   n17     n26            129
   n26     n17            129
   n17     n27            915
   n27     n17            915
   n17     n28            368
   n28     n17            368
   n17     n29            390
   n29     n17            390
   n17     n30           2866
   n30     n17           2866
   n17     n31           4091
   n31     n17           4091
   n17     n32           3359
   n32     n17           3359
   n17     n33            561
   n33     n17            561
   n17     n34            965
   n34     n17            965
   n17     n35            480
   n35     n17            480
   n17     n36            114
   n36     n17            114
   n17     n37            711
   n37     n17            711
   n17     n38           3190
   n38     n17           3190
   n17     n39            591
   n39     n17            591
   n17     n40           3072
   n40     n17           3072
   n17     n41            669
   n41     n17            669
   n17     n42           3724
   n42     n17           3724
   n17     n43            846
   n43     n17            846
   n17     n44           2379
   n44     n17           2379
   n17     n45            854
   n45     n17            854
   n17     n46           1192
   n46     n17           1192
   n17     n47            392
   n47     n17            392
   n17     n48            671
   n48     n17            671
   n17     n49            511
   n49     n17            511
   n17     n50           3565
   n50     n17           3565
   n17     n51            408
   n51     n17            408
   n17     n52            388
   n52     n17            388
   n17     n53           3129
   n53     n17           3129
   n17     n54            846
   n54     n17            846
   n17     n55            950
   n55     n17            950
   n17     n56           1126
   n56     n17           1126
   n17     n57           1347
   n57     n17           1347
   n17     n58           1860
   n58     n17           1860
   n18     n19           2566
   n19     n18           2566
   n18     n20           1273
   n20     n18           1273
   n18     n21           2905
   n21     n18           2905
   n18     n22           1619
   n22     n18           1619
   n18     n23           1175
   n23     n18           1175
   n18     n24            564
   n24     n18            564
   n18     n25           1068
   n25     n18           1068
   n18     n26           2600
   n26     n18           2600
   n18     n27           1638
   n27     n18           1638
   n18     n28           2841
   n28     n18           2841
   n18     n29           2470
   n29     n18           2470
   n18     n30            770
   n30     n18            770
   n18     n31           5113
   n31     n18           5113
   n18     n32           1240
   n32     n18           1240
   n18     n33           3039
   n33     n18           3039
   n18     n34           3433
   n34     n18           3433
   n18     n35           2134
   n35     n18           2134
   n18     n36           2580
   n36     n18           2580
   n18     n37           3184
   n37     n18           3184
   n18     n38           4182
   n38     n18           4182
   n18     n39           2465
   n39     n18           2465
   n18     n40            953
   n40     n18            953
   n18     n41           1997
   n41     n18           1997
   n18     n42           4756
   n42     n18           4756
   n18     n43           1834
   n43     n18           1834
   n18     n44            114
   n44     n18            114
   n18     n45           3335
   n45     n18           3335
   n18     n46           3670
   n46     n18           3670
   n18     n47           2388
   n47     n18           2388
   n18     n48           2349
   n48     n18           2349
   n18     n49           1984
   n49     n18           1984
   n18     n50           1715
   n50     n18           1715
   n18     n51           2068
   n51     n18           2068
   n18     n52           2074
   n52     n18           2074
   n18     n53           1284
   n53     n18           1284
   n18     n54           1968
   n54     n18           1968
   n18     n55           2031
   n55     n18           2031
   n18     n56           3604
   n56     n18           3604
   n18     n57           1340
   n57     n18           1340
   n18     n58            636
   n58     n18            636
   n19     n20           3841
   n20     n19           3841
   n19     n21            945
   n21     n19            945
   n19     n22           1507
   n22     n19           1507
   n19     n23           1627
   n23     n19           1627
   n19     n24           2393
   n24     n19           2393
   n19     n25           3486
   n25     n19           3486
   n19     n26            178
   n26     n19            178
   n19     n27           1214
   n27     n19           1214
   n19     n28            254
   n28     n19            254
   n19     n29            652
   n29     n19            652
   n19     n30           3165
   n30     n19           3165
   n19     n31           4396
   n31     n19           4396
   n19     n32           3658
   n32     n19           3658
   n19     n33            531
   n33     n19            531
   n19     n34            730
   n34     n19            730
   n19     n35           1079
   n35     n19           1079
   n19     n36            374
   n36     n19            374
   n19     n37            476
   n37     n19            476
   n19     n38           3495
   n38     n19           3495
   n19     n39            856
   n39     n19            856
   n19     n40           3371
   n40     n19           3371
   n19     n41            968
   n41     n19            968
   n19     n42           4029
   n42     n19           4029
   n19     n43           1140
   n43     n19           1140
   n19     n44           2678
   n44     n19           2678
   n19     n45            806
   n45     n19            806
   n19     n46            960
   n46     n19            960
   n19     n47            691
   n47     n19            691
   n19     n48            978
   n48     n19            978
   n19     n49            810
   n49     n19            810
   n19     n50           3864
   n50     n19           3864
   n19     n51            707
   n51     n19            707
   n19     n52            687
   n52     n19            687
   n19     n53           3428
   n53     n19           3428
   n19     n54           1145
   n54     n19           1145
   n19     n55           1249
   n55     n19           1249
   n19     n56           1096
   n56     n19           1096
   n19     n57           1646
   n57     n19           1646
   n19     n58           2159
   n58     n19           2159
   n20     n21           3998
   n21     n20           3998
   n20     n22           2620
   n22     n20           2620
   n20     n23           2217
   n23     n20           2217
   n20     n24           1647
   n24     n20           1647
   n20     n25            693
   n25     n20            693
   n20     n26           3665
   n26     n20           3665
   n20     n27           2676
   n27     n20           2676
   n20     n28           3906
   n28     n20           3906
   n20     n29           3487
   n29     n20           3487
   n20     n30           1052
   n30     n20           1052
   n20     n31           5893
   n31     n20           5893
   n20     n32            537
   n32     n20            537
   n20     n33           4108
   n33     n20           4108
   n20     n34           4503
   n34     n20           4503
   n20     n35           3201
   n35     n20           3201
   n20     n36           3635
   n36     n20           3635
   n20     n37           4249
   n37     n20           4249
   n20     n38           4962
   n38     n20           4962
   n20     n39           3366
   n39     n20           3366
   n20     n40            800
   n40     n20            800
   n20     n41           3064
   n41     n20           3064
   n20     n42           5536
   n42     n20           5536
   n20     n43           2804
   n43     n20           2804
   n20     n44           1385
   n44     n20           1385
   n20     n45           4401
   n45     n20           4401
   n20     n46           4739
   n46     n20           4739
   n20     n47           3199
   n47     n20           3199
   n20     n48           3129
   n48     n20           3129
   n20     n49           3032
   n49     n20           3032
   n20     n50           1070
   n50     n20           1070
   n20     n51           3122
   n51     n20           3122
   n20     n52           3209
   n52     n20           3209
   n20     n53            634
   n53     n20            634
   n20     n54           2948
   n54     n20           2948
   n20     n55           2846
   n55     n20           2846
   n20     n56           4673
   n56     n20           4673
   n20     n57           2395
   n57     n20           2395
   n20     n58           1681
   n58     n20           1681
   n21     n22           1383
   n22     n21           1383
   n21     n23           1835
   n23     n21           1835
   n21     n24           2627
   n24     n21           2627
   n21     n25           3846
   n25     n21           3846
   n21     n26            767
   n26     n21            767
   n21     n27           1771
   n27     n21           1771
   n21     n28            788
   n28     n21            788
   n21     n29            520
   n29     n21            520
   n21     n30           3380
   n30     n21           3380
   n21     n31           3925
   n31     n21           3925
   n21     n32           3872
   n32     n21           3872
   n21     n33            938
   n33     n21            938
   n21     n34           1200
   n34     n21           1200
   n21     n35            842
   n35     n21            842
   n21     n36            524
   n36     n21            524
   n21     n37            943
   n37     n21            943
   n21     n38           3024
   n38     n21           3024
   n21     n39            607
   n39     n21            607
   n21     n40           3585
   n40     n21           3585
   n21     n41            892
   n41     n21            892
   n21     n42           3558
   n42     n21           3558
   n21     n43           1470
   n43     n21           1470
   n21     n44           2871
   n44     n21           2871
   n21     n45           1288
   n45     n21           1288
   n21     n46           1438
   n46     n21           1438
   n21     n47           1118
   n47     n21           1118
   n21     n48            742
   n48     n21            742
   n21     n49           1143
   n49     n21           1143
   n21     n50           3801
   n50     n21           3801
   n21     n51           1046
   n51     n21           1046
   n21     n52            976
   n52     n21            976
   n21     n53           3365
   n53     n21           3365
   n21     n54           1076
   n54     n21           1076
   n21     n55           1174
   n55     n21           1174
   n21     n56           1185
   n56     n21           1185
   n21     n57           1989
   n57     n21           1989
   n21     n58           2951
   n58     n21           2951
   n22     n23           1238
   n23     n22           1238
   n22     n24           1612
   n24     n22           1612
   n22     n25           2617
   n25     n22           2617
   n22     n26           1332
   n26     n22           1332
   n22     n27           1174
   n27     n22           1174
   n22     n28           1495
   n28     n22           1495
   n22     n29            875
   n29     n22            875
   n22     n30           2211
   n30     n22           2211
   n22     n31           3289
   n31     n22           3289
   n22     n32           2718
   n32     n22           2718
   n22     n33           1634
   n33     n22           1634
   n22     n34           2087
   n34     n22           2087
   n22     n35            774
   n35     n22            774
   n22     n36           1109
   n36     n22           1109
   n22     n37           1838
   n37     n22           1838
   n22     n38           2388
   n38     n22           2388
   n22     n39            754
   n39     n22            754
   n22     n40           2414
   n40     n22           2414
   n22     n41            607
   n41     n22            607
   n22     n42           2922
   n42     n22           2922
   n22     n43           1348
   n43     n22           1348
   n22     n44           1726
   n44     n22           1726
   n22     n45           1930
   n45     n22           1930
   n22     n46           2265
   n46     n22           2265
   n22     n47            991
   n47     n22            991
   n22     n48            517
   n48     n22            517
   n22     n49            983
   n49     n22            983
   n22     n50           2422
   n50     n22           2422
   n22     n51            919
   n51     n22            919
   n22     n52            880
   n52     n22            880
   n22     n53           1986
   n53     n22           1986
   n22     n54            459
   n54     n22            459
   n22     n55            359
   n55     n22            359
   n22     n56           2199
   n56     n22           2199
   n22     n57           1438
   n57     n22           1438
   n22     n58           1350
   n58     n22           1350
   n23     n24            801
   n24     n23            801
   n23     n25           1865
   n25     n23           1865
   n23     n26           1450
   n26     n23           1450
   n23     n27            554
   n27     n23            554
   n23     n28           2243
   n28     n23           2243
   n23     n29           1546
   n29     n23           1546
   n23     n30           1545
   n30     n23           1545
   n23     n31           4286
   n31     n23           4286
   n23     n32           2037
   n32     n23           2037
   n23     n33           1889
   n33     n23           1889
   n23     n34           2293
   n34     n23           2293
   n23     n35            984
   n35     n23            984
   n23     n36           1542
   n36     n23           1542
   n23     n37           2040
   n37     n23           2040
   n23     n38           3385
   n38     n23           3385
   n23     n39           1315
   n39     n23           1315
   n23     n40           1750
   n40     n23           1750
   n23     n41            847
   n41     n23            847
   n23     n42           3919
   n42     n23           3919
   n23     n43            600
   n43     n23            600
   n23     n44           1061
   n44     n23           1061
   n23     n45           2182
   n45     n23           2182
   n23     n46           2510
   n46     n23           2510
   n23     n47           1093
   n47     n23           1093
   n23     n48           1074
   n48     n23           1074
   n23     n49            887
   n49     n23            887
   n23     n50           2425
   n50     n23           2425
   n23     n51           1021
   n51     n23           1021
   n23     n52            992
   n52     n23            992
   n23     n53           1994
   n53     n23           1994
   n23     n54            818
   n54     n23            818
   n23     n55            881
   n55     n23            881
   n23     n56           2454
   n56     n23           2454
   n23     n57            432
   n57     n23            432
   n23     n58           1394
   n58     n23           1394
   n24     n25           1256
   n25     n24           1256
   n24     n26           2083
   n26     n24           2083
   n24     n27           1252
   n27     n24           1252
   n24     n28           2324
   n28     n24           2324
   n24     n29           2058
   n29     n24           2058
   n24     n30            936
   n30     n24            936
   n24     n31           4929
   n31     n24           4929
   n24     n32           1428
   n32     n24           1428
   n24     n33           2517
   n33     n24           2517
   n24     n34           2686
   n34     n24           2686
   n24     n35           1841
   n35     n24           1841
   n24     n36           2057
   n36     n24           2057
   n24     n37           2806
   n37     n24           2806
   n24     n38           4038
   n38     n24           4038
   n24     n39           2123
   n39     n24           2123
   n24     n40           1141
   n40     n24           1141
   n24     n41           1849
   n41     n24           1849
   n24     n42           4572
   n42     n24           4572
   n24     n43           1275
   n43     n24           1275
   n24     n44            452
   n44     n24            452
   n24     n45           2805
   n45     n24           2805
   n24     n46           3143
   n46     n24           3143
   n24     n47           1610
   n47     n24           1610
   n24     n48           2020
   n48     n24           2020
   n24     n49           1612
   n49     n24           1612
   n24     n50           1869
   n50     n24           1869
   n24     n51           1542
   n51     n24           1542
   n24     n52           1642
   n52     n24           1642
   n24     n53           1422
   n53     n24           1422
   n24     n54           1748
   n54     n24           1748
   n24     n55           1811
   n55     n24           1811
   n24     n56           3082
   n56     n24           3082
   n24     n57            754
   n57     n24            754
   n24     n58            259
   n58     n24            259
   n25     n26           3310
   n26     n25           3310
   n25     n27           2324
   n27     n25           2324
   n25     n28           3551
   n28     n25           3551
   n25     n29           3185
   n29     n25           3185
   n25     n30            372
   n30     n25            372
   n25     n31           5890
   n31     n25           5890
   n25     n32            190
   n32     n25            190
   n25     n33           3754
   n33     n25           3754
   n25     n34           4148
   n34     n25           4148
   n25     n35           2849
   n35     n25           2849
   n25     n36           3295
   n36     n25           3295
   n25     n37           3899
   n37     n25           3899
   n25     n38           4959
   n38     n25           4959
   n25     n39           3180
   n39     n25           3180
   n25     n40            125
   n40     n25            125
   n25     n41           2712
   n41     n25           2712
   n25     n42           5533
   n42     n25           5533
   n25     n43           2524
   n43     n25           2524
   n25     n44            954
   n44     n25            954
   n25     n45           4050
   n45     n25           4050
   n25     n46           4385
   n46     n25           4385
   n25     n47           2836
   n47     n25           2836
   n25     n48           2939
   n48     n25           2939
   n25     n49           2644
   n49     n25           2644
   n25     n50           1669
   n50     n25           1669
   n25     n51           2764
   n51     n25           2764
   n25     n52           2857
   n52     n25           2857
   n25     n53           1233
   n53     n25           1233
   n25     n54           2683
   n54     n25           2683
   n25     n55           2746
   n55     n25           2746
   n25     n56           4319
   n56     n25           4319
   n25     n57           2004
   n57     n25           2004
   n25     n58           1326
   n58     n25           1326
   n26     n27           1044
   n27     n26           1044
   n26     n28            432
   n28     n26            432
   n26     n29            519
   n29     n26            519
   n26     n30           2995
   n30     n26           2995
   n26     n31           4215
   n31     n26           4215
   n26     n32           3487
   n32     n26           3487
   n26     n33            709
   n33     n26            709
   n26     n34            908
   n34     n26            908
   n26     n35            609
   n35     n26            609
   n26     n36            243
   n36     n26            243
   n26     n37            639
   n37     n26            639
   n26     n38           3314
   n38     n26           3314
   n26     n39            720
   n39     n26            720
   n26     n40           3200
   n40     n26           3200
   n26     n41            798
   n41     n26            798
   n26     n42           3848
   n42     n26           3848
   n26     n43            969
   n43     n26            969
   n26     n44           2486
   n44     n26           2486
   n26     n45            984
   n45     n26            984
   n26     n46           1138
   n46     n26           1138
   n26     n47            528
   n47     n26            528
   n26     n48            800
   n48     n26            800
   n26     n49            640
   n49     n26            640
   n26     n50           3751
   n50     n26           3751
   n26     n51            536
   n51     n26            536
   n26     n52            517
   n52     n26            517
   n26     n53           3315
   n53     n26           3315
   n26     n54            975
   n54     n26            975
   n26     n55           1078
   n55     n26           1078
   n26     n56           1274
   n56     n26           1274
   n26     n57           1329
   n57     n26           1329
   n26     n58           1189
   n58     n26           1189
   n27     n28           1275
   n28     n27           1275
   n27     n29           1023
   n29     n27           1023
   n27     n30           2004
   n30     n27           2004
   n27     n31           4208
   n31     n27           4208
   n27     n32           2496
   n32     n27           2496
   n27     n33           1468
   n33     n27           1468
   n27     n34           1637
   n34     n27           1637
   n27     n35            669
   n35     n27            669
   n27     n36           1022
   n36     n27           1022
   n27     n37           1627
   n37     n27           1627
   n27     n38           3307
   n38     n27           3307
   n27     n39           1088
   n39     n27           1088
   n27     n40           2209
   n40     n27           2209
   n27     n41            783
   n41     n27            783
   n27     n42           3841
   n42     n27           3841
   n27     n43            184
   n43     n27            184
   n27     n44           1524
   n44     n27           1524
   n27     n45           1756
   n45     n27           1756
   n27     n46           2094
   n46     n27           2094
   n27     n47            570
   n47     n27            570
   n27     n48            946
   n48     n27            946
   n27     n49            523
   n49     n27            523
   n27     n50           3178
   n50     n27           3178
   n27     n51            498
   n51     n27            498
   n27     n52            600
   n52     n27            600
   n27     n53           2742
   n53     n27           2742
   n27     n54            754
   n54     n27            754
   n27     n55            817
   n55     n27            817
   n27     n56           2033
   n56     n27           2033
   n27     n57            498
   n57     n27            498
   n27     n58           1460
   n58     n27           1460
   n28     n29            758
   n29     n28            758
   n28     n30           3236
   n30     n28           3236
   n28     n31           4436
   n31     n28           4436
   n28     n32           4225
   n32     n28           4225
   n28     n33            283
   n33     n28            283
   n28     n34            606
   n34     n28            606
   n28     n35            848
   n35     n28            848
   n28     n36            482
   n36     n28            482
   n28     n37            359
   n37     n28            359
   n28     n38           3535
   n38     n28           3535
   n28     n39            959
   n39     n28            959
   n28     n40           3441
   n40     n28           3441
   n28     n41           1037
   n41     n28           1037
   n28     n42           4069
   n42     n28           4069
   n28     n43           1210
   n43     n28           1210
   n28     n44           2727
   n44     n28           2727
   n28     n45            701
   n45     n28            701
   n28     n46            851
   n46     n28            851
   n28     n47            702
   n47     n28            702
   n28     n48           1039
   n48     n28           1039
   n28     n49            879
   n49     n28            879
   n28     n50           3929
   n50     n28           3929
   n28     n51            777
   n51     n28            777
   n28     n52            756
   n52     n28            756
   n28     n53           3493
   n53     n28           3493
   n28     n54           1214
   n54     n28           1214
   n28     n55           1311
   n55     n28           1311
   n28     n56           1494
   n56     n28           1494
   n28     n57           1570
   n57     n28           1570
   n28     n58           2532
   n58     n28           2532
   n29     n30           2865
   n30     n29           2865
   n29     n31           3709
   n31     n29           3709
   n29     n32           3036
   n32     n29           3036
   n29     n33            478
   n33     n29            478
   n29     n34           1293
   n34     n29           1293
   n29     n35            354
   n35     n29            354
   n29     n36            274
   n36     n29            274
   n29     n37           1036
   n37     n29           1036
   n29     n38           2808
   n38     n29           2808
   n29     n39            366
   n39     n29            366
   n29     n40           3070
   n40     n29           3070
   n29     n41            447
   n41     n29            447
   n29     n42           3342
   n42     n29           3342
   n29     n43            949
   n43     n29            949
   n29     n44           2356
   n44     n29           2356
   n29     n45            708
   n45     n29            708
   n29     n46            837
   n46     n29            837
   n29     n47            577
   n47     n29            577
   n29     n48            367
   n48     n29            367
   n29     n49            623
   n49     n29            623
   n29     n50           3325
   n50     n29           3325
   n29     n51            525
   n51     n29            525
   n29     n52            523
   n52     n29            523
   n29     n53           2889
   n53     n29           2889
   n29     n54            631
   n54     n29            631
   n29     n55            728
   n55     n29            728
   n29     n56           1635
   n56     n29           1635
   n29     n57           1304
   n57     n29           1304
   n29     n58           2266
   n58     n29           2266
   n30     n31           5480
   n31     n30           5480
   n30     n32            549
   n32     n30            549
   n30     n33           3434
   n33     n30           3434
   n30     n34           3828
   n34     n30           3828
   n30     n35           2529
   n35     n30           2529
   n30     n36           2975
   n36     n30           2975
   n30     n37           3579
   n37     n30           3579
   n30     n38           4549
   n38     n30           4549
   n30     n39           2860
   n39     n30           2860
   n30     n40            257
   n40     n30            257
   n30     n41           2392
   n41     n30           2392
   n30     n42           5123
   n42     n30           5123
   n30     n43           2204
   n43     n30           2204
   n30     n44            656
   n44     n30            656
   n30     n45           3730
   n45     n30           3730
   n30     n46           4065
   n46     n30           4065
   n30     n47           2527
   n47     n30           2527
   n30     n48           2619
   n48     n30           2619
   n30     n49           2354
   n49     n30           2354
   n30     n50           1608
   n50     n30           1608
   n30     n51           2444
   n51     n30           2444
   n30     n52           2537
   n52     n30           2537
   n30     n53           1172
   n53     n30           1172
   n30     n54           2406
   n54     n30           2406
   n30     n55           2305
   n55     n30           2305
   n30     n56           3999
   n56     n30           3999
   n30     n57           1684
   n57     n30           1684
   n30     n58           1006
   n58     n30           1006
   n31     n32           5991
   n32     n31           5991
   n31     n33           4480
   n33     n31           4480
   n31     n34           4971
   n34     n31           4971
   n31     n35           3843
   n35     n31           3843
   n31     n36           3962
   n36     n31           3962
   n31     n37           4791
   n37     n31           4791
   n31     n38            901
   n38     n31            901
   n31     n39           3491
   n39     n31           3491
   n31     n40           5687
   n40     n31           5687
   n31     n41           3662
   n41     n31           3662
   n31     n42           1445
   n42     n31           1445
   n31     n43           4615
   n43     n31           4615
   n31     n44           4999
   n44     n31           4999
   n31     n45           4776
   n45     n31           4776
   n31     n46           5106
   n46     n31           5106
   n31     n47           4117
   n47     n31           4117
   n31     n48           3568
   n48     n31           3568
   n31     n49           4137
   n49     n31           4137
   n31     n50           5695
   n50     n31           5695
   n31     n51           3969
   n51     n31           3969
   n31     n52           3986
   n52     n31           3986
   n31     n53           5259
   n53     n31           5259
   n31     n54           3514
   n54     n31           3514
   n31     n55           3414
   n55     n31           3414
   n31     n56           5045
   n56     n31           5045
   n31     n57           4708
   n57     n31           4708
   n31     n58           4619
   n58     n31           4619
   n32     n33           3926
   n33     n32           3926
   n32     n34           4320
   n34     n32           4320
   n32     n35           3021
   n35     n32           3021
   n32     n36           3467
   n36     n32           3467
   n32     n37           4171
   n37     n32           4171
   n32     n38           5060
   n38     n32           5060
   n32     n39           3352
   n39     n32           3352
   n32     n40            297
   n40     n32            297
   n32     n41           2884
   n41     n32           2884
   n32     n42           5634
   n42     n32           5634
   n32     n43           2696
   n43     n32           2696
   n32     n44           1126
   n44     n32           1126
   n32     n45           4222
   n45     n32           4222
   n32     n46           4557
   n46     n32           4557
   n32     n47           3008
   n47     n32           3008
   n32     n48           3114
   n48     n32           3114
   n32     n49           2846
   n49     n32           2846
   n32     n50           1607
   n50     n32           1607
   n32     n51           2936
   n51     n32           2936
   n32     n52           3162
   n52     n32           3162
   n32     n53           1171
   n53     n32           1171
   n32     n54           2855
   n54     n32           2855
   n32     n55           2918
   n55     n32           2918
   n32     n56           4491
   n56     n32           4491
   n32     n57           2176
   n57     n32           2176
   n32     n58           1498
   n58     n32           1498
   n33     n34            547
   n34     n33            547
   n33     n35           1041
   n35     n33           1041
   n33     n36            675
   n36     n33            675
   n33     n37            290
   n37     n33            290
   n33     n38           3579
   n38     n33           3579
   n33     n39           1152
   n39     n33           1152
   n33     n40           3639
   n40     n33           3639
   n33     n41           1230
   n41     n33           1230
   n33     n42           4113
   n42     n33           4113
   n33     n43           1402
   n43     n33           1402
   n33     n44           2925
   n44     n33           2925
   n33     n45            213
   n45     n33            213
   n33     n46            435
   n46     n33            435
   n33     n47            802
   n47     n33            802
   n33     n48           1232
   n48     n33           1232
   n33     n49           1072
   n49     n33           1072
   n33     n50           4052
   n50     n33           4052
   n33     n51            970
   n51     n33            970
   n33     n52            949
   n52     n33            949
   n33     n53           3616
   n53     n33           3616
   n33     n54           1407
   n54     n33           1407
   n33     n55           1511
   n55     n33           1511
   n33     n56            413
   n56     n33            413
   n33     n57           1763
   n57     n33           1763
   n33     n58           2725
   n58     n33           2725
   n34     n35           1444
   n35     n34           1444
   n34     n36           1016
   n36     n34           1016
   n34     n37            257
   n37     n34            257
   n34     n38           4002
   n38     n34           4002
   n34     n39           1493
   n39     n34           1493
   n34     n40           4041
   n40     n34           4041
   n34     n41           1638
   n41     n34           1638
   n34     n42           4604
   n42     n34           4604
   n34     n43           1802
   n43     n34           1802
   n34     n44           3319
   n44     n34           3319
   n34     n45            354
   n45     n34            354
   n34     n46            229
   n46     n34            229
   n34     n47           1356
   n47     n34           1356
   n34     n48           1849
   n48     n34           1849
   n34     n49           1475
   n49     n34           1475
   n34     n50           4501
   n50     n34           4501
   n34     n51           1139
   n51     n34           1139
   n34     n52           1352
   n52     n34           1352
   n34     n53           4065
   n53     n34           4065
   n34     n54           1839
   n54     n34           1839
   n34     n55           1931
   n55     n34           1931
   n34     n56            300
   n56     n34            300
   n34     n57           1932
   n57     n34           1932
   n34     n58           2899
   n58     n34           2899
   n35     n36            594
   n36     n35            594
   n35     n37           1187
   n37     n35           1187
   n35     n38           2942
   n38     n35           2942
   n35     n39            329
   n39     n35            329
   n35     n40           2734
   n40     n35           2734
   n35     n41            148
   n41     n35            148
   n35     n42           3476
   n42     n35           3476
   n35     n43            567
   n43     n35            567
   n35     n44           2020
   n44     n35           2020
   n35     n45           1335
   n45     n35           1335
   n35     n46           1672
   n46     n35           1672
   n35     n47            243
   n47     n35            243
   n35     n48            287
   n48     n35            287
   n35     n49            268
   n49     n35            268
   n35     n50           3213
   n50     n35           3213
   n35     n51            171
   n51     n35            171
   n35     n52            107
   n52     n35            107
   n35     n53           2777
   n53     n35           2777
   n35     n54            315
   n54     n35            315
   n35     n55            419
   n55     n35            419
   n35     n56           1606
   n56     n35           1606
   n35     n57           1087
   n57     n35           1087
   n35     n58           2049
   n58     n35           2049
   n36     n37            759
   n37     n36            759
   n36     n38           3061
   n38     n36           3061
   n36     n39            705
   n39     n36            705
   n36     n40           3180
   n40     n36           3180
   n36     n41            635
   n41     n36            635
   n36     n42           3595
   n42     n36           3595
   n36     n43            971
   n43     n36            971
   n36     n44           2466
   n44     n36           2466
   n36     n45            968
   n45     n36            968
   n36     n46           1306
   n46     n36           1306
   n36     n47            506
   n47     n36            506
   n36     n48            705
   n48     n36            705
   n36     n49            625
   n49     n36            625
   n36     n50           3502
   n50     n36           3502
   n36     n51            524
   n51     n36            524
   n36     n52            502
   n52     n36            502
   n36     n53           3066
   n53     n36           3066
   n36     n54            960
   n54     n36            960
   n36     n55           1064
   n55     n36           1064
   n36     n56           1240
   n56     n36           1240
   n36     n57           1303
   n57     n36           1303
   n36     n58           1974
   n58     n36           1974
   n37     n38           3825
   n38     n37           3825
   n37     n39           1236
   n39     n37           1236
   n37     n40           3784
   n40     n37           3784
   n37     n41           1381
   n41     n37           1381
   n37     n42           4359
   n42     n37           4359
   n37     n43           1553
   n43     n37           1553
   n37     n44           3070
   n44     n37           3070
   n37     n45            342
   n45     n37            342
   n37     n46            492
